QTCP Werner window-size and Werner-parameter update.
Default simulation parameters are defined in WINDOW_UPDATE_DEFAULT_CASE in this script.
Update rule: W_next = W + gamma * (target_tp - observed_tp).
Update rule: w_next = w + gamma * ((tp_plus - tp_minus) / (w_plus - w_minus)).
The plus/minus Werner runs use the old W_run from the same iteration.
Werner parameter is clamped to [1.0e-6, 0.999999] so request_rate stays positive.

Initial update parameters:
  target_tp = 2.4
  iterations = 10000
  initial_window_size = 20
  initial_werner_w = 0.75
  min_window_size = 1.0
  werner_bounds = [1.0e-6, 0.999999]
  rng_seed = 42
  gamma(n) = 3 / ( n + 50) ^ 0.7
  delta(n) = 0.05 / (n + 50) ^ 0.15

Default simulation parameters:
  werner_w = 0.75
  chi = 30.0
  request_rate = nothing
  distance_km = 25.0
  a_eta = 1.0
  beta_per_km = 0.046
  detector_a_p = 0.9
  detection_prob = nothing
  source_window_size = 20
  source_ack_timeout = 10.0
  sim_time = 200.0
  success_prob = 1.0
  attempt_time = 0.0
  memory_slots = nothing
  initial_request_delay = 0.0

iter |    gamma |    delta |      W_est |  W_run |        w |   target |       tp |  tp_plus | tp_minus |     w_grad |    acked |   sent | timeout |     W_next |   w_next
  50 | 0.119432 | 0.025059 |  27.135170 |     28 | 0.000001 | 2.400000 | 0.755000 | 0.945000 | 0.860000 |   3.391946 |      151 |    707 |     528 |  27.331636 | 0.405108
  51 | 0.118603 | 0.025022 |  27.331636 |     28 | 0.405108 | 2.400000 | 2.970000 | 2.770000 | 2.585000 |   3.696749 |      594 |   1143 |     521 |  27.264032 | 0.843555
  52 | 0.117788 | 0.024985 |  27.264032 |     28 | 0.843555 | 2.400000 | 3.215000 | 2.710000 | 3.530000 | -16.409822 |      643 |    793 |     145 |  27.168035 | 0.000001
  53 | 0.116986 | 0.024948 |  27.168035 |     28 | 0.000001 | 2.400000 | 0.915000 | 0.760000 | 0.795000 |  -1.402890 |      183 |    739 |     528 |  27.341760 | 0.000001
  54 | 0.116198 | 0.024912 |  27.341760 |     28 | 0.000001 | 2.400000 | 0.785000 | 0.935000 | 0.800000 |   5.418995 |      157 |    713 |     528 |  27.529419 | 0.629676
  55 | 0.115422 | 0.024877 |  27.529419 |     28 | 0.629676 | 2.400000 | 4.910000 | 5.305000 | 4.455000 |  17.084305 |      982 |   1491 |     485 |  27.239710 | 0.999999
  56 | 0.114659 | 0.024841 |  27.239710 |     28 | 0.999999 | 2.400000 | 0.005000 | 0.000000 | 0.550000 | -22.140558 |        1 |      1 |       0 |  27.514318 | 0.000001
  57 | 0.113908 | 0.024806 |  27.514318 |     28 | 0.000001 | 2.400000 | 0.730000 | 0.860000 | 0.850000 |   0.403123 |      146 |    701 |     527 |  27.704543 | 0.045920
  58 | 0.113168 | 0.024772 |  27.704543 |     28 | 0.045920 | 2.400000 | 0.910000 | 0.805000 | 0.820000 |  -0.302764 |      182 |    736 |     526 |  27.873164 | 0.011656
  59 | 0.112440 | 0.024738 |  27.873164 |     28 | 0.011656 | 2.400000 | 0.800000 | 0.975000 | 0.900000 |   2.060838 |      160 |    716 |     528 |  28.053069 | 0.243378
  60 | 0.111724 | 0.024704 |  28.053069 |     29 | 0.243378 | 2.400000 | 1.815000 | 1.790000 | 1.555000 |   4.756382 |      363 |    933 |     541 |  28.118427 | 0.774780
  61 | 0.111018 | 0.024670 |  28.118427 |     29 | 0.774780 | 2.400000 | 4.275000 | 3.825000 | 4.545000 | -14.592542 |      855 |   1141 |     273 |  27.910268 | 0.000001
  62 | 0.110324 | 0.024637 |  27.910268 |     28 | 0.000001 | 2.400000 | 0.740000 | 0.955000 | 0.845000 |   4.464835 |      148 |    706 |     530 |  28.093405 | 0.492578
  63 | 0.109639 | 0.024604 |  28.093405 |     29 | 0.492578 | 2.400000 | 3.655000 | 3.710000 | 3.665000 |   0.914480 |      731 |   1287 |     530 |  27.955808 | 0.592841
  64 | 0.108965 | 0.024572 |  27.955808 |     28 | 0.592841 | 2.400000 | 4.420000 | 4.165000 | 4.180000 |  -0.305230 |      884 |   1402 |     491 |  27.735698 | 0.559581
  65 | 0.108301 | 0.024539 |  27.735698 |     28 | 0.559581 | 2.400000 | 4.170000 | 4.745000 | 3.710000 |  21.088468 |      834 |   1362 |     501 |  27.544005 | 0.999999
  66 | 0.107647 | 0.024508 |  27.544005 |     28 | 0.999999 | 2.400000 | 0.000000 | 0.005000 | 0.580000 | -23.462081 |        0 |      1 |       1 |  27.802357 | 0.000001
  67 | 0.107002 | 0.024476 |  27.802357 |     28 | 0.000001 | 2.400000 | 0.840000 | 0.750000 | 0.820000 |  -2.859933 |      168 |    723 |     527 |  27.969280 | 0.000001
  68 | 0.106366 | 0.024445 |  27.969280 |     28 | 0.000001 | 2.400000 | 0.705000 | 0.890000 | 0.825000 |   2.659045 |      141 |    698 |     529 |  28.149571 | 0.282834
  69 | 0.105740 | 0.024414 |  28.149571 |     29 | 0.282834 | 2.400000 | 1.700000 | 2.145000 | 2.020000 |   2.560012 |      340 |    913 |     544 |  28.223589 | 0.553529
  70 | 0.105122 | 0.024383 |  28.223589 |     29 | 0.553529 | 2.400000 | 4.110000 | 4.170000 | 4.230000 |  -1.230349 |      822 |   1372 |     521 |  28.043830 | 0.424192
  71 | 0.104513 | 0.024353 |  28.043830 |     29 | 0.424192 | 2.400000 | 2.520000 | 2.960000 | 2.680000 |   5.748782 |      504 |   1074 |     541 |  28.031288 | 0.999999
  72 | 0.103913 | 0.024323 |  28.031288 |     29 | 0.999999 | 2.400000 | 0.005000 | 0.000000 | 0.530000 | -21.790131 |        1 |      1 |       0 |  28.280159 | 0.000001
  73 | 0.103321 | 0.024293 |  28.280159 |     29 | 0.000001 | 2.400000 | 0.770000 | 1.050000 | 0.870000 |   7.409489 |      154 |    728 |     545 |  28.448572 | 0.765555
  74 | 0.102737 | 0.024264 |  28.448572 |     29 | 0.765555 | 2.400000 | 4.390000 | 4.000000 | 4.735000 | -15.146092 |      878 |   1188 |     290 |  28.244126 | 0.000001
  75 | 0.102161 | 0.024234 |  28.244126 |     29 | 0.000001 | 2.400000 | 0.710000 | 0.935000 | 0.700000 |   9.696932 |      142 |    720 |     549 |  28.416778 | 0.990647
  76 | 0.101593 | 0.024206 |  28.416778 |     29 | 0.990647 | 2.400000 | 0.200000 | 0.000000 | 0.715000 | -21.306866 |       40 |     48 |       7 |  28.640281 | 0.000001
