QTCP Werner window-size and Werner-parameter update.
Update rule: W_next = W + gamma * (target_tp - observed_tp).
Update rule: w_next = w + gamma * ((tp_plus - tp_minus) / (w_plus - w_minus)).
The plus/minus Werner runs use the old W_run from the same iteration.
Werner parameter is clamped to [1.0e-6, 0.999999] so request_rate stays positive.

Initial update parameters:
  target_tp = 2.4
  iterations = 10000
  initial_window_size = 20
  initial_werner_w = 0.75
  min_window_size = 1.0
  werner_bounds = [1.0e-6, 0.999999]
  rng_seed = 42
  gamma(n) = 1 / n
  delta(n) = 0.05 / (n + 50)^0.15

Default simulation parameters:
  werner_w = 0.75
  chi = 30.0
  request_rate = nothing
  distance_km = 25.0
  a_eta = 1.0
  beta_per_km = 0.046
  detector_a_p = 0.9
  detection_prob = nothing
  source_window_size = 20
  source_ack_timeout = 10.0
  sim_time = 200.0
  success_prob = 1.0
  attempt_time = 0.0
  memory_slots = nothing
  initial_request_delay = 0.0

iter |    gamma |    delta |      W_est |  W_run |        w |   target |       tp |  tp_plus | tp_minus |     w_grad |    acked |   sent | timeout |     W_next |   w_next
  55 | 0.018182 | 0.024877 |  21.958973 |     22 | 0.737215 | 2.400000 | 4.520000 | 4.580000 | 4.365000 |   4.321324 |      904 |   1245 |     324 |  21.920428 | 0.815785
  56 | 0.017857 | 0.024841 |  21.920428 |     22 | 0.815785 | 2.400000 | 3.685000 | 3.180000 | 4.105000 | -18.618197 |      737 |    933 |     187 |  21.897481 | 0.483317
  57 | 0.017544 | 0.024806 |  21.897481 |     22 | 0.483317 | 2.400000 | 2.410000 | 2.875000 | 2.755000 |   2.418738 |      482 |    906 |     402 |  21.897306 | 0.525751
  58 | 0.017241 | 0.024772 |  21.897306 |     22 | 0.525751 | 2.400000 | 2.785000 | 2.620000 | 2.785000 |  -3.330409 |      557 |    978 |     399 |  21.890668 | 0.468330
  59 | 0.016949 | 0.024738 |  21.890668 |     22 | 0.468330 | 2.400000 | 2.425000 | 2.705000 | 2.450000 |   5.154116 |      485 |    914 |     407 |  21.890244 | 0.555688
  60 | 0.016667 | 0.024704 |  21.890244 |     22 | 0.555688 | 2.400000 | 3.035000 | 3.025000 | 2.920000 |   2.125192 |      607 |   1024 |     396 |  21.879661 | 0.591108
  61 | 0.016393 | 0.024670 |  21.879661 |     22 | 0.591108 | 2.400000 | 3.400000 | 3.495000 | 3.065000 |   8.714990 |      680 |   1089 |     387 |  21.863267 | 0.733977
  62 | 0.016129 | 0.024637 |  21.863267 |     22 | 0.733977 | 2.400000 | 4.785000 | 4.340000 | 4.250000 |   1.826523 |      957 |   1291 |     319 |  21.824800 | 0.763437
  63 | 0.015873 | 0.024604 |  21.824800 |     22 | 0.763437 | 2.400000 | 4.295000 | 4.005000 | 4.645000 | -13.005940 |      859 |   1167 |     289 |  21.794720 | 0.556993
  64 | 0.015625 | 0.024572 |  21.794720 |     22 | 0.556993 | 2.400000 | 3.425000 | 3.145000 | 3.105000 |   0.813946 |      685 |   1098 |     393 |  21.778705 | 0.569711
  65 | 0.015385 | 0.024539 |  21.778705 |     22 | 0.569711 | 2.400000 | 3.470000 | 3.830000 | 2.930000 |  18.337798 |      694 |   1108 |     393 |  21.762243 | 0.851831
  66 | 0.015152 | 0.024508 |  21.762243 |     22 | 0.851831 | 2.400000 | 3.115000 | 2.570000 | 3.440000 | -17.749575 |      623 |    751 |     123 |  21.751410 | 0.582898
  67 | 0.014925 | 0.024476 |  21.751410 |     22 | 0.582898 | 2.400000 | 3.380000 | 3.335000 | 3.000000 |   6.843412 |      676 |   1087 |     389 |  21.736783 | 0.685039
  68 | 0.014706 | 0.024445 |  21.736783 |     22 | 0.685039 | 2.400000 | 4.015000 | 4.300000 | 4.375000 |  -1.534064 |      803 |   1200 |     378 |  21.713033 | 0.662479
  69 | 0.014493 | 0.024414 |  21.713033 |     22 | 0.662479 | 2.400000 | 4.105000 | 4.480000 | 4.335000 |   2.969614 |      821 |   1219 |     383 |  21.688323 | 0.705517
  70 | 0.014286 | 0.024383 |  21.688323 |     22 | 0.705517 | 2.400000 | 4.625000 | 4.350000 | 4.475000 |  -2.563228 |      925 |   1298 |     354 |  21.656537 | 0.668899
  71 | 0.014085 | 0.024353 |  21.656537 |     22 | 0.668899 | 2.400000 | 3.795000 | 4.065000 | 3.690000 |   7.699262 |      759 |   1162 |     385 |  21.636889 | 0.777340
  72 | 0.013889 | 0.024323 |  21.636889 |     22 | 0.777340 | 2.400000 | 4.120000 | 3.670000 | 4.400000 | -15.006411 |      824 |   1104 |     274 |  21.613000 | 0.568917
  73 | 0.013699 | 0.024293 |  21.613000 |     22 | 0.568917 | 2.400000 | 3.255000 | 3.460000 | 3.075000 |   7.924037 |      651 |   1067 |     394 |  21.601288 | 0.677466
  74 | 0.013514 | 0.024264 |  21.601288 |     22 | 0.677466 | 2.400000 | 4.275000 | 4.190000 | 4.005000 |   3.812282 |      855 |   1248 |     372 |  21.575950 | 0.728983
